"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal)_1 []"
27,90.0000000000002,98,-16.143934342648
27,90.0000000000002,100,-16.4123691095552
27,90.0000000000002,102,-16.6981391035384
27,90.0000000000002,104,-16.9842216077929
27,90.0000000000002,106,-17.2511166638684
27,90.0000000000002,108,-17.477648198466
27,90.0000000000002,110,-17.6427123166813
27,90.0000000000002,112,-17.7279984916706
27,90.0000000000002,114,-17.7212584133364
27,90.0000000000002,116,-17.6192339554207
27,90.0000000000002,118,-17.4292337632106
27,90.0000000000002,120,-17.1687871464879
27,90.0000000000002,122,-16.8635886794535
27,90.0000000000002,124,-16.5445600879653
27,90.0000000000002,126,-16.2449622185065
27,90.0000000000002,128,-15.998181133672
27,90.0000000000002,130,-15.8363970337218
27,90.0000000000002,132,-15.7900421869784
27,90.0000000000002,134,-15.8878018718204
27,90.0000000000002,136,-16.1568326941815
27,90.0000000000002,138,-16.6227327348001
27,90.0000000000002,140,-17.3083789235219
27,90.0000000000002,142,-18.2295855196545
27,90.0000000000002,144,-19.3826551467123
27,90.0000000000002,146,-20.7132984865933
27,90.0000000000002,148,-22.0549983731037
27,90.0000000000002,150,-23.0752593216192
27,90.0000000000002,152,-23.4183778916595
27,90.0000000000002,154,-23.0736459063285
27,90.0000000000002,156,-22.3813757571425
27,90.0000000000002,158,-21.6629206974651
27,90.0000000000002,160,-21.0682717741245
27,90.0000000000002,162,-20.6264199552683
27,90.0000000000002,164,-20.3082599754637
27,90.0000000000002,166,-20.0630126824664
27,90.0000000000002,168,-19.8409829957234
27,90.0000000000002,170,-19.6107397929302
27,90.0000000000002,172,-19.3687342663444
27,90.0000000000002,174,-19.1372662349998
27,90.0000000000002,176,-18.9527653482843
27,90.0000000000002,178,-18.8516552732032
27,90.0000000000002,180,-18.8594866843922
27,90.0000000000002,182,-18.9842745679927
27,90.0000000000002,184,-19.2126216228083
27,90.0000000000002,186,-19.5085008419616
27,90.0000000000002,188,-19.8179495711755
27,90.0000000000002,190,-20.0847241817073
27,90.0000000000002,192,-20.2759061150714
27,90.0000000000002,194,-20.4027199212946
27,90.0000000000002,196,-20.5185300677526
27,90.0000000000002,198,-20.6946433422752
27,90.0000000000002,200,-20.9903195016943
27,90.0000000000002,202,-21.4251502135797
27,90.0000000000002,204,-21.9459851563608
27,90.0000000000002,206,-22.3852493629279
27,90.0000000000002,208,-22.4662965640214
27,90.0000000000002,210,-21.9741614613253
27,90.0000000000002,212,-20.9786301483446
27,90.0000000000002,214,-19.7566150504029
27,90.0000000000002,216,-18.5526076372545
27,90.0000000000002,218,-17.4956959605165
27,90.0000000000002,220,-16.6326207215692
27,90.0000000000002,222,-15.9691397390929
27,90.0000000000002,224,-15.4934142903217
27,90.0000000000002,226,-15.1866074388063
27,90.0000000000002,228,-15.0272412894084
27,90.0000000000002,230,-14.9928717128449
27,90.0000000000002,232,-15.0607100779397
27,90.0000000000002,234,-15.2079060123395
27,90.0000000000002,236,-15.4117997427128
27,90.0000000000002,238,-15.6502718422655
27,90.0000000000002,240,-15.9022365850769
27,90.0000000000002,242,-16.1482891888771
27,90.0000000000002,244,-16.3714962346777
27,90.0000000000002,246,-16.5582850113069
27,90.0000000000002,248,-16.6993247414128
27,90.0000000000002,250,-16.7902171971269
27,90.0000000000002,252,-16.8317820856561
27,90.0000000000002,254,-16.8297906230896
27,90.0000000000002,256,-16.7941646723399
27,90.0000000000002,258,-16.7378359320266
27,90.0000000000002,260,-16.6755487755289
27,90.0000000000002,262,-16.622851165152
27,90.0000000000002,264,-16.5953878790442
27,90.0000000000002,266,-16.6084526322079
27,90.0000000000002,268,-16.6765999441495
27,90.0000000000002,270,-16.8129291832361
27,90.0000000000002,272,-17.0273230699358
27,90.0000000000002,274,-17.3222583075941
27,90.0000000000002,276,-17.6836093712764
27,90.0000000000002,278,-18.0626612391857
27,90.0000000000002,280,-18.3487934619375
27,90.0000000000002,282,-18.3540697176491
27,90.0000000000002,284,-17.872651728288
27,90.0000000000002,286,-16.8334477395238
27,90.0000000000002,288,-15.3720325194573
27,90.0000000000002,290,-13.7095309609395
27,90.0000000000002,292,-12.0191100671709
27,90.0000000000002,294,-10.3971011753072
27,90.0000000000002,296,-8.88696375412061
27,90.0000000000002,298,-7.50465986587054
27,90.0000000000002,300,-6.25388910101195
27,90.0000000000002,302,-5.13380955908486
27,90.0000000000002,304,-4.14278054524993
27,90.0000000000002,306,-3.28025870259606
27,90.0000000000002,308,-2.54793426707561
27,90.0000000000002,310,-1.95065550509374
27,90.0000000000002,312,-1.4974623509826
27,90.0000000000002,314,-1.2030091408343
27,90.0000000000002,316,-1.08977158828499
27,90.0000000000002,318,-1.19177959946573
27,90.0000000000002,320,-1.56147349943005
27,90.0000000000002,322,-2.28352935853768
27,90.0000000000002,324,-3.50627898626767
27,90.0000000000002,326,-5.52643321048421
27,90.0000000000002,328,-9.09011373176609
27,90.0000000000002,330,-17.1921180794253
27,90.0000000000002,332,-16.3256043337796
27,90.0000000000002,334,-6.98548994283226
27,90.0000000000002,336,-2.10638912802711
27,90.0000000000002,338,1.23301678544226
27,90.0000000000002,340,3.76362646857524
27,90.0000000000002,342,5.77507011275179
27,90.0000000000002,344,7.41110886045153
27,90.0000000000002,346,8.7532652361343
27,90.0000000000002,348,9.85198074535236
27,90.0000000000002,350,10.7403661036923
27,90.0000000000002,352,11.4410018533019
27,90.0000000000002,354,11.9695773339796
27,90.0000000000002,356,12.3369400964794
27,90.0000000000002,358,12.5502757752831
27,90.0000000000002,360,12.6137709852821
