"Theta [deg]","dB(GainTotal)_1 [] - Freq='27GHz' Phi='0deg'","dB(GainTotal) [] - Freq='27GHz' Phi='90.0000000000002deg'"
148,-8.77082969847482,-11.5436648952717
150,-9.03621547659078,-11.9236633780672
152,-9.35459303562024,-12.3493186099245
154,-9.7319632382641,-12.8224680453069
156,-10.1753218868585,-13.3454393449388
158,-10.6933956792326,-13.9212466815066
160,-11.2976115387904,-14.553656997956
162,-12.0034008645263,-15.2470464143107
164,-12.8319956475114,-16.0059197577905
166,-13.8129381328888,-16.8338617628883
168,-14.9874971854415,-17.7314767333588
170,-16.4124756867168,-18.6924980372839
172,-18.1593793344101,-19.6967526967271
174,-20.2788040270874,-20.6986479859647
176,-22.5769752170298,-21.6127088784537
178,-23.8751948572258,-22.3083370900815
180,-22.6414045713262,-22.6414045713262
182,-20.0708674186929,-22.5323942113893
184,-17.5841145853926,-22.0243142603038
186,-15.4883855589736,-21.2465113059131
188,-13.7557960572407,-20.3326890096989
190,-12.3186358970656,-19.3761911895795
192,-11.1204439599693,-18.4290499671353
194,-10.119284600588,-17.5161267043156
196,-9.28414269251911,-16.6478239326718
198,-8.591451451149,-15.8279847393857
200,-8.02259898534533,-15.058027196358
202,-7.56224594415596,-14.3388022204115
204,-7.19720962355482,-13.6712254036247
206,-6.91573620606298,-13.0563154273403
208,-6.70704742832114,-12.4949952674997
210,-6.56109123632762,-11.9878427398789
212,-6.4684503827265,-11.5348755223015
214,-6.42037322289378,-11.1353983124336
216,-6.40889155733348,-10.7879107858025
218,-6.42698576237391,-10.4900637111194
220,-6.4687527236582,-10.2386492937338
222,-6.52953224713143,-10.0296154664687
224,-6.60595600241384,-9.85809937730462
226,-6.69589963332472,-9.71848104202224
228,-6.79833966113467,-9.60446303730515
230,-6.91313619258177,-9.50918537862286
232,-7.04077479821367,-9.42538541586752
234,-7.18210380087905,-9.34560965704999
236,-7.33809775236841,-9.26247716746945
238,-7.50966758746215,-9.16898286822532
240,-7.69752673735321,-9.05881568721
242,-7.90211316123466,-8.92665501859476
244,-8.12356100314305,-8.76840418634318
246,-8.36171227094747,-8.58132525165516
248,-8.61615773485029,-8.36405568664452
250,-8.88629616079614,-8.1165098406569
252,-9.1714011708,-7.83968954084109
254,-9.47068480125321,-7.5354418452197
256,-9.78334568650551,-7.20620467886379
258,-10.1085872096905,-6.85477404496609
260,-10.4455863131749,-6.48411393597892
262,-10.7933861855415,-6.09721676499287
264,-11.1506749893536,-5.69701154314397
266,-11.5153980234721,-5.28631059412034
268,-11.8841343793793,-4.86778313327664
270,-12.2511597591104,-4.44394448842572
272,-12.6071379058216,-4.01715185507126
274,-12.937485208222,-3.58960022160421
276,-13.2207232423988,-3.16331477502525
278,-13.4276522102867,-2.74013833427887
280,-13.5228293958926,-2.32171402680644
282,-13.4699612177396,-1.9094645468919
284,-13.2412315359654,-1.50457001277704
286,-12.8271116034884,-1.10794679976638
288,-12.2408144756568,-0.720229884674476
290,-11.5142010435168,-0.341761276162564
292,-10.6879725543991,0.0274129364245907
294,-9.80199680605342,0.387534517956584
296,-8.88947599741486,0.73911189351707
298,-7.97512788206627,1.08288423771771
300,-7.07581724933863,1.4197701203783
302,-6.20212228016272,1.750801244081
304,-5.35996430771587,2.0770434620424
306,-4.55196369812734,2.39950917687501
308,-3.7784687219285,2.71906711931363
310,-3.03831305381187,3.03635699941251
312,-2.32937921605578,3.35171718170494
314,-1.64903312199769,3.66513302203594
316,-0.994473614891159,3.97621170733748
318,-0.36302033976782,4.28418656483255
320,0.247652923736252,4.5879503552945
322,0.8393427084003,4.88611370404083
324,1.41320530627703,5.17708219018014
326,1.96971644683186,5.45914413064463
328,2.5087000834374,5.73056086956193
330,3.0294170192927,5.98965223043156
332,3.53069697891171,6.23487133766727
334,4.01109375013923,6.46486484913244
336,4.46904298798662,6.67851641624531
338,4.9030056403209,6.87497268782652
340,5.31158532712741,7.05365231866211
342,5.69361380900823,7.21423925744573
344,6.0482037069604,7.35666215077958
346,6.37477125766037,7.48106210118629
348,6.6730340117833,7.5877513285774
350,6.94298925326664,7.67716554132835
352,7.18487891689543,7.74981302211723
354,7.39914628056721,7.80622354303397
356,7.58638899034332,7.84690019876939
358,7.74731221767105,7.87227704512666
360,7.882685032381,7.882685032381
